"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs6q01","cs6q02_a","cs6q02_b","cs6q02_c","cs6q03_a","cs6q03_b","cs6q03_c","cs6q04_a","cs6q04_b","cs6q04_c","cs6q05","cs6q06","cs6q07","cs6q07_b","cs6q07_c","cs6q08","cs6q09","cs6q10","cs6q11","cs6q12","cs6q13","cs6q14","cs6q15","cs6q16_a","cs6q16_b","cs6q16_c","cs6q16_d","cs6q17_a","cs6q17_b","cs6q17_c","cs6q17_d","cs6q18_a","cs6q18_b","cs6q18_c","cs6q18_d","cs6q18_e","cs6q18_f","cs6q18_g","cs6q18_h"
"030310088801701","03031001701",3,3,10,8,88,17,1,1,1,8,7,10,9,11,4,2,3,3,3,1,,,,,1,459,1,1,1,3,3,3,3,3,4,4,3,4,1,1,3,1,1,1,3,3
"030403088801401","03040301401",3,4,3,8,88,14,1,1,1,8,7,11,11,11,4,4,4,3,3,1,,,1,,1,63,3,1,1,2,1,1,1,1,4,4,4,3,1,2,3,1,1,1,3,3
"030406088800801","03040600801",3,4,6,8,88,8,1,1,6,2,8,8,8,11,4,3,4,3,2,1,,,1,,1,840,3,3,3,1,1,1,1,1,5,5,5,5,1,1,5,2,1,1,4,2
"030409088801203","03040901203",3,4,9,8,88,12,3,1,,,,11,8,11,3,4,3,3,3,1,,,1,,1,495,3,3,3,1,3,2,2,2,4,4,2,4,2,2,2,2,2,4,4,4
"030411088800903","03041100903",3,4,11,8,88,9,3,1,,,,10,10,9,3,2,2,1,3,1,,,1,,1,27,1,1,1,1,1,1,1,3,4,4,4,4,4,4,4,3,1,4,4,1
"030412010100105","03041200105",3,4,12,1,1,1,5,1,,,,,,,,,,3,3,1,,,2,1.5,2,,4,4,4,3,9,9,9,9,9,9,9,4,9,9,9,9,2,2,9,2
"030414088802101","03041402101",3,4,14,8,88,21,1,1,7,6,8,11,8,11,2,4,3,3,3,1,,,1,,1,20,3,1,1,1,1,1,1,1,4,4,4,4,1,1,4,2,1,1,4,3
"030416088800204","03041600204",3,4,16,8,88,2,4,1,7,6,8,11,10,10,4,5,3,3,3,1,,,1,,1,55,3,2,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,3,4
"030418010100309","03041800309",3,4,18,1,1,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"030418010100807","03041800807",3,4,18,1,1,8,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"030501088801504","03050101504",3,5,1,8,88,15,4,1,6,7,9,9,10,11,3,4,5,3,3,1,,,1,,1,,1,2,1,1,1,1,1,1,4,5,4,4,1,1,4,3,1,1,5,3
"030504088800305","03050400305",3,5,4,8,88,3,5,1,6,8,9,10,11,,2,3,4,3,3,1,,,1,,1,792,3,,,1,1,1,1,2,1,1,1,1,1,4,3,4,4,3,3,3
"030507088801204","03050701204",3,5,7,8,88,12,4,1,,,,11,8,10,3,4,3,3,3,1,,,1,,1,900,3,3,1,3,1,1,9,1,5,5,4,5,3,5,4,5,5,4,5,3
"030508010100106","03050800106",3,5,8,1,1,1,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"030509020100104","03050900104",3,5,9,2,1,1,4,1,8,13,14,11,10,1,5,3,4,3,3,2,,,1,,1,65,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,5,4,4,5
"030511088800307","03051100307",3,5,11,8,88,3,7,1,8,13,14,11,10,12,3,4,5,2,3,1,,,1,,1,50,3,3,3,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4,4
"030513088800702","03051300702",3,5,13,8,88,7,2,1,1,13,8,9,10,,3,4,,3,3,1,,,1,,1,1181,3,3,3,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,3
"030515088800703","03051500703",3,5,15,8,88,7,3,1,,,,11,8,10,2,3,2,3,3,1,,,1,,1,58,3,2,1,3,1,3,9,3,5,5,4,4,4,3,4,4,4,2,4,2
"030521088800808","03052100808",3,5,21,8,88,8,8,1,8,7,6,11,11,7,4,3,4,3,3,1,,,1,,1,20,3,3,3,1,3,3,1,3,5,5,5,5,2,4,4,2,4,1,2,2
"030602088802603","03060202603",3,6,2,8,88,26,3,1,2,7,8,9,2,11,3,4,2,2,2,2,,,1,,1,1330,3,2,3,1,3,3,3,3,4,4,4,4,4,4,4,5,5,3,1,3
"030604010100202","03060400202",3,6,4,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"030604088802001","03060402001",3,6,4,8,88,20,1,1,8,13,7,10,10,11,4,3,5,3,3,1,,,1,,1,361,3,2,3,1,1,2,1,1,5,5,4,4,4,4,5,1,4,2,2,4
"030606088802103","03060602103",3,6,6,8,88,21,3,1,,,,11,13,1,6,6,6,3,1,1,,,1,,1,710,4,2,1,1,2,2,1,1,5,4,5,5,4,4,4,5,4,4,4,3
"030609088801807","03060901807",3,6,9,8,88,18,7,1,7,8,2,11,12,8,3,4,5,1,1,2,,,1,,1,1280,3,2,3,1,1,1,3,3,4,3,3,4,4,4,3,4,3,3,3,3
"030611088802207","03061102207",3,6,11,8,88,22,7,1,,,,9,11,9,3,4,2,3,2,1,,,1,,2,,3,2,3,1,3,3,1,1,4,4,4,4,2,1,5,4,3,3,5,3
"030614010100105","03061400105",3,6,14,1,1,1,5,1,,,,11,12,12,5,5,5,3,3,1,,,2,1,2,,1,2,1,1,3,3,3,3,3,3,4,3,4,3,4,4,3,3,1,4
"030616088801207","03061601207",3,6,16,8,88,12,7,1,60,1,8,7,8,10,11,4,5,2,2,2,,,1,,1,865,3,3,3,1,3,3,2,1,5,5,3,5,4,4,4,3,4,4,4,4
"030701088801406","03070101406",3,7,1,8,88,14,6,1,2,3,7,9,10,11,2,3,4,3,1,2,,,1,,1,1549,3,2,3,1,1,1,1,1,1,1,1,1,4,2,5,4,4,4,4,4
"030703088800105","03070300105",3,7,3,8,88,1,5,1,7,2,8,11,9,10,3,3,3,3,3,3,,,1,,1,320,3,2,3,1,1,2,3,1,4,4,4,4,2,3,4,4,4,4,1,4
"030704088801302","03070401302",3,7,4,8,88,13,2,1,2,3,8,9,10,11,3,4,,3,3,2,,,1,,1,1002,3,2,3,1,1,1,1,1,1,1,1,1,4,2,4,4,4,4,4,4
"030705010100105","03070500105",3,7,5,1,1,1,5,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"030705088802405","03070502405",3,7,5,8,88,24,5,1,,,,9,10,9,3,4,12,2,2,3,,,1,,1,431,3,2,3,1,1,1,1,2,4,5,4,4,4,4,4,4,4,4,4,
"030708020100211","03070800211",3,7,8,2,1,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"030708088801402","03070801402",3,7,8,8,88,14,2,1,2,3,8,9,11,12,3,4,3,1,2,3,,,1,,1,140,3,2,3,1,3,2,3,3,4,4,4,4,2,3,4,2,2,3,2,3
