"ea_id2","ea_id","sa1q01","sa1q02","sa1q03","sa1q04","sa1q05","sa1q06","sa1q07","cs5q01_a","cs5q01_b","cs5q01_c","cs5q01_oth","cs5q02","cs5q03","cs5q04","cs5q05_a","cs5q05_b","cs5q05_a_other","cs5q06","cs5q07","cs5q08_a","cs5q08_b","cs5q09","cs5q10","cs5q11","cs5q08_a_other"
"040210088801102","04021001102",4,2,10,8,88,11,2,1,,,,1,2,2,9,10,,2,,,,2,,,
"040214010200204","04021400204",4,2,14,1,2,2,4,1,4,5,,2,,,,,,1,1,4,9,1,20,10,
"040214088801801","04021401801",4,2,14,8,88,18,1,1,4,9,,1,10,1,9,1,,1,1,1,,2,,,
"040302088801803","04030201803",4,3,2,8,88,18,3,1,4,,,1,1,2,4,,,1,1,4,9,1,1,0,
"040308010100108","04030800108",4,3,8,1,1,1,8,4,1,10,,2,,,,,,1,1,1,,2,,,
"040308088800401","04030800401",4,3,8,8,88,4,1,1,,,,1,2,1,11,,,2,,,,2,,,
"040314088800602","04031400602",4,3,14,8,88,6,2,1,,,,2,,,,,,2,,,,2,,,
"040321010100214","04032100214",4,3,21,1,1,2,14,1,4,10,,1,2,2,4,,,1,1,4,,1,12,20,
"040401088801103","04040101103",4,4,1,8,88,11,3,1,10,4,,1,2,2,6,,,2,,,,2,,,
"040405088801902","04040501902",4,4,5,8,88,19,2,1,4,3,,2,,,,,,1,1,1,,2,,,
"040410088800701","04041000701",4,4,10,8,88,7,1,1,4,6,,1,10,3,4,,,1,1,9,,2,,,
"040412010100104","04041200104",4,4,12,1,1,1,4,4,10,9,,1,3,2,4,,,1,1,4,,2,,,
"040414088801702","04041401702",4,4,14,8,88,17,2,1,4,7,,1,80,1,1,,,1,1,1,,1,10,5,
"040503088803104","04050303104",4,5,3,8,88,31,4,1,4,6,,2,,,,,,2,,,,2,,,
"040508088803103","04050803103",4,5,8,8,88,31,3,1,4,5,,2,,,,,,1,1,1,5,2,,,
"040512010100104","04051200104",4,5,12,1,1,1,4,4,10,1,,1,10,2,10,8,,1,1,8,5,2,,,
"040513088802405","04051302405",4,5,13,8,88,24,5,1,4,9,,2,,,,,,2,,,,2,,,
"040520010100113","04052000113",4,5,20,1,1,1,13,4,,,,1,2,3,11,,"yegulbet sira",1,2,4,9,1,3,3,
"040601020100102","04060100102",4,6,1,2,1,1,2,4,5,10,,1,25,2,9,10,,1,1,8,11,1,3,1,
"040601088802303","04060102303",4,6,1,8,88,23,3,1,5,6,,1,10,2,11,,,1,1,6,,2,,,
"040605088801004","04060501004",4,6,5,8,88,10,4,1,4,5,,1,5,2,9,11,,2,,,,2,,,
"040608088801902","04060801902",4,6,8,8,88,19,2,1,4,5,,1,5,2,9,,,2,,,,2,,,
"040701088801502","04070101502",4,7,1,8,88,15,2,1,4,3,,2,,,,,,1,1,1,,2,,,
"040704088801002","04070401002",4,7,4,8,88,10,2,1,5,,,1,5,2,6,,,2,,,,2,,,
"040707010100104","04070700104",4,7,7,1,1,1,4,1,5,10,,1,5,1,1,,,1,1,1,,2,,,
"040707088802702","04070702702",4,7,7,8,88,27,2,1,3,2,,2,,,,,,1,1,1,,2,,,
"040712088802302","04071202302",4,7,12,8,88,23,2,1,5,3,,1,25,2,9,8,,1,1,1,,2,,,
"040713010100209","04071300209",4,7,13,1,1,2,9,2,4,10,,1,1,3,6,10,,1,1,1,6,1,20,15,
"040806088800802","04080600802",4,8,6,8,88,8,2,1,,,,2,,,,,,2,,,,2,,,
"040808010100107","04080800107",4,8,8,1,1,1,7,5,10,9,,1,2,3,11,,,1,1,11,,1,8,4,
"040812088802401","04081202401",4,8,12,8,88,24,1,1,10,,,1,5,2,11,,,2,,,,2,,,
"040817088802801","04081702801",4,8,17,8,88,28,1,1,,,,1,2,3,11,,,2,,,,2,,,
"040825010100102","04082500102",4,8,25,1,1,1,2,4,9,10,,2,,,,,,1,1,4,9,1,70,30,
"040901088800304","04090100304",4,9,1,8,88,3,4,1,4,3,,1,10,1,4,1,,2,,,,2,,,
"040907088800105","04090700105",4,9,7,8,88,1,5,1,3,4,,1,35,1,1,11,,2,,,,2,,,
"040909010100105","04090900105",4,9,9,1,1,1,5,4,6,10,,1,15,2,4,6,,1,1,4,9,2,,,
"040910088801104","04091001104",4,9,10,8,88,11,4,1,4,,,1,1,3,11,,,1,1,11,,2,,,
"040913088801004","04091301004",4,9,13,8,88,10,4,1,4,5,,2,,,,,,1,1,4,1,2,,,
