"","household_id2","hh_wgt","urban","poor_npl1","pred_score_pr_full"
"3337","041501010100115125",5901.02197265625,1,0,0.0407178739478175
"3338","010601010100224089",1241.28869628906,1,0,0.0217779643062899
"3339","050206088800901040",1237.97131347656,0,0,0.288865957516562
"3340","050102088802401046",193.223022460938,0,1,0.410201721969188
"3341","041601010100603041",1520.74694824219,1,0,0.0142724155719206
"3342","140608010600822141",3760.16137695312,1,0,0.0128357186385731
"3343","030708020100211123",6989.626953125,1,0,0.140022697665699
"3344","130101088801603193",228.784576416016,0,0,0.35933808698376
"3345","130101088801603108",228.784576416016,0,0,0.35933808698376
"3346","010106088800402014",270.486846923828,0,0,0.347053816449006
"3347","040713010100209021",6087.0419921875,1,0,0.017637298738745
"3348","070412088800908035",17411.525390625,0,1,0.682693627926853
"3349","070110010100102034",2627.05419921875,1,0,0.0241910355890681
"3350","050204010100624004",1680.125,1,0,0.100512947562797
"3351","041501010101124156",1921.24084472656,1,0,0.0241910355890681
"3352","070907088801501122",4621.26416015625,0,0,0.463061204318371
"3353","030504088800305170",1788.01953125,0,0,0.0229535549801016
"3354","140103010100301055",3813.03247070312,1,0,0.0475077973683472
"3355","040308010100108103",5669.4326171875,1,1,0.200225088888815
"3356","041711010100511058",1226.3798828125,1,0,0.0428710482517105
"3357","010202020100107151",1781.97839355469,1,0,0.038668472625334
"3358","120101088800401080",372.639739990234,0,1,0.682693627926853
"3359","070417088800202017",12057.189453125,0,0,0.570082665931821
"3360","071006088802401154",6991.92431640625,0,1,0.596220532297017
"3361","060608088801401085",315.592651367188,0,0,0.570082665931821
"3362","030109020100112143",4784.68994140625,1,0,0.0217779643062899
"3363","070613010100335016",8828.2421875,1,0,0.0314195456024053
"3364","072219010100401037",726.99853515625,1,0,0.0185936217119334
"3365","030101088800204058",9197.3388671875,0,1,0.449720131493548
"3366","140807010800620056",2934.72241210938,1,0,0.0185936217119334
"3367","040308010100108018",5669.4326171875,1,0,0.064432924899379
"3368","050206010100310098",1764.84936523438,1,1,0.410201721969188
"3369","071016010100109075",5039.255859375,1,1,0.15348200472991
"3370","010601010103701098",746.466796875,1,0,0.0298235953821351
"3371","120101010100103139",1892.23583984375,1,0,0.0196007634556847
"3372","010601010100315109",1093.82702636719,1,0,0.0196007634556847
"3373","071006088802401060",6991.92431640625,0,1,0.463061204318371
"3374","030109020100112083",4784.68994140625,1,0,0.0217779643062899
"3375","041501010100918202",1932.92578125,1,0,0.0185936217119334
"3376","070112088802605034",5791.6826171875,0,0,0.323098577878763
"3377","140602010600227023",2734.21728515625,1,0,0.0128357186385731
"3378","140913010900632059",2787.74389648438,1,0,0.0268641404942275
"3379","150101010100613013",593.940673828125,1,0,0.0185936217119334
"3380","050904088800302014",3452.86206054688,0,0,0.288865957516562
"3381","030120020100105112",3041.9384765625,1,0,0.0298235953821351
"3382","140903010900303087",3221.56518554688,1,1,0.11066318833431
"3383","140801010800129010",2428.1123046875,1,0,0.0314195456024053
"3384","071009088801703056",4584.921875,0,1,0.463061204318371
"3385","050206010100310114",1764.84936523438,1,1,0.288865957516562
"3386","010601010100423002",267.028381347656,1,0,0.0196007634556847
"3387","030705010100105119",1871.35595703125,1,0,0.0314195456024053
"3388","030804088800503018",2742.36865234375,0,0,0.449720131493548
"3389","030705010100105028",1871.35595703125,1,0,0.0330979863179623
"3390","072219010100753119",752.76611328125,1,0,0.0314195456024053
"3391","070404088800903113",9055.384765625,0,1,0.556855966789898
"3392","030606088802103004",8527.62890625,0,0,0.15348200472991
"3393","071601088800803061",762.799560546875,0,1,0.570082665931821
"3394","070410010100105009",2363.13793945312,1,0,0.311450917924466
"3395","041501010100918032",1932.92578125,1,0,0.0142724155719206
"3396","040909010100105021",1534.08044433594,1,0,0.0298235953821351
"3397","070613010100335120",8828.2421875,1,0,0.0128357186385731
"3398","072219010100219147",867.316589355469,1,0,0.0526184678032966
"3399","010601010100303108",1008.89300537109,1,0,0.0217779643062899
