"holder_id","household_id","household_id2","rural","pw_w3","ea_id","saq01","saq02","saq03","saq04","saq05","saq06","ph_saq07","crop_name","crop_code","ph_s12q02_a","ph_s12q02_b","ph_s12q02_c","ph_s12q02_d","ph_s12q03_a","ph_s12q03_b","ph_s12q03b","ph_s12q04","ph_s12q05","ph_s12q06","ph_s12q07","ph_s12q0b","ph_s12q08","ph_s12q08a_1","ph_s12q08a_2","ph_s12q09_a","ph_s12q09_b","ph_s12q10a_1","ph_s12q10a_2","ph_s12q10","ph_s12q11","ph_s12q12","ph_s12q13","ph_s12q14","ph_s12q15a","ph_s12q15b","ph_s12q16","ph_s12q17","ph_s12q18","ph_s12q19_a","ph_s12q19_b","ph_s12q19_c","ph_s12q19_e","ph_s12q19_f","ph_s12q19_g","ph_s12q19_h","obs"
"0102030100111101","01020301001111","010203088801001111",1,3237.32836914063,"01020301001",1,2,3,10,1,111,1,"GUAVA",65,2008,3,2008,3,20,1,20,2,,1,15,1,90,1,2,"N01",,5,1,2,,,,2,,,,,,25,0,0,0,75,0,100,3
"0102030100111101","01020301001111","010203088801001111",1,3237.32836914063,"01020301001",1,2,3,10,1,111,1,"GESHO",75,2007,12,2008,5,35,122,528,2,,1,34,122,4590,1,2,"N01",,1,122,2,,,,2,,,,,,3,0,0,0,97,0,100,1
"0102030100115201","01020301001152","010203088801001152",1,1126.91821289063,"01020301001",1,2,3,10,1,152,1,"POTATOES",60,2008,2,2008,2,1,3,,2,,1,95,1,500,1,,"N01",,5,1,2,,,,2,,,,,,5,0,0,0,95,0,100,1
"0102070010108701","01020700101087","010207010100101087",2,2459.8681640625,"01020700101",1,2,7,1,1,87,1,"LETTUCE",57,2008,1,2008,2,1,61,,2,,2,,,,,,,,1,61,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102070010129702","01020700101297","010207010100101297",2,2459.8681640625,"01020700101",1,2,7,1,1,297,2,"BANANAS",42,2008,5,2008,5,1,41,1,1,6,2,,,,,,,,0,,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102070010129702","01020700101297","010207010100101297",2,2459.8681640625,"01020700101",1,2,7,1,1,297,2,"GESHO",75,2008,2,2008,2,1,111,1,2,,2,,,,,,,,0,,2,,,,2,,,,,,100,0,0,0,0,0,100,2
"0102090060200601","01020900602006","010209088800602006",1,3316.28637695313,"01020900602",1,2,9,6,2,6,1,"OTHER FRUITS",115,2007,10,2007,13,50,113,,1,4,2,,,,,,,,50,113,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102090060204301","01020900602043","010209088800602043",1,3316.28637695313,"01020900602",1,2,9,6,2,43,1,"GESHO",75,2007,11,2007,11,1,111,1,2,,2,,,,,,,,1,111,2,,,,2,,,,,,100,0,0,0,0,0,100,2
"0102090060204301","01020900602043","010209088800602043",1,3316.28637695313,"01020900602",1,2,9,6,2,43,1,"OTHER FRUITS",115,2007,10,2007,11,20,113,0,2,,2,,,,,,,,20,113,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102090060208301","01020900602083","010209088800602083",1,3316.28637695313,"01020900602",1,2,9,6,2,83,1,"GESHO",75,2007,9,2007,9,3,1,2,2,,2,,,,,,,,3,183,2,,,,2,,,,,,100,0,0,0,0,0,100,2
"0102090060208301","01020900602083","010209088800602083",1,3316.28637695313,"01020900602",1,2,9,6,2,83,1,"OTHER FRUITS",115,2007,10,2007,13,700,1,,2,,2,,,,,,,,35,113,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102090060210401","01020900602104","010209088800602104",1,3316.28637695313,"01020900602",1,2,9,6,2,104,1,"OTHER FRUITS",115,2007,10,2007,13,25,113,,2,,2,,,,,,,,25,113,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0102090060214201","01020900602142","010209088800602142",1,3316.28637695313,"01020900602",1,2,9,6,2,142,1,"OTHER FRUITS",115,2007,10,2007,12,35,113,0,1,4,2,,,,,,,,35,113,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0103010020400301","01030100204003","010301088800204003",1,1550.37329101563,"01030100204",1,3,1,2,4,3,1,"GESHO",75,2007,10,2008,3,3,112,1,2,,2,,,,,,,,3,112,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0103010020401201","01030100204012","010301088800204012",1,1550.37329101563,"01030100204",1,3,1,2,4,12,1,"TOMATOES",63,2008,1,2008,3,8,1,,2,,2,,,,,,,,5,1,2,,,,2,,,,,,63,0,0,0,0,37,100,2
"0103010020401201","01030100204012","010301088800204012",1,1550.37329101563,"01030100204",1,3,1,2,4,12,1,"GESHO",75,2007,12,2008,3,1,1,2,2,,2,,,,,,,,1,1,2,,,,2,,,,,,100,0,0,0,0,0,100,1
"0103010020409101","01030100204091","010301088800204091",1,1550.37329101563,"01030100204",1,3,1,2,4,91,1,"TOMATOES",63,2008,1,2008,3,20,1,,1,1,2,,,,,,,,30,1,2,,,,2,,,,,,100,0,0,0,0,0,100,2
