cluster_lat,cluster_lon,geometry,latitude,longitude,rwi,error,closest_rwi_geom,distance
5.98301240509,38.1616652609,POINT (38.1616652609 5.98301240509),5.9766803,38.1555176,-0.206,0.395,POINT (38.1555176 5.9766803),879.6618552075961
5.98817082582,37.4387863255,POINT (37.4387863255 5.98817082582),5.9985331,37.4304199,-0.323,0.4,POINT (37.4304199 5.9985331),1304.8209668594313
6.00281125449,37.5432936133,POINT (37.5432936133 6.00281125449),5.9985331,37.5402832,1.851,0.552,POINT (37.5402832 5.9985331),504.3094603877191
6.01320414316,37.5572904068,POINT (37.5572904068 6.01320414316),6.020385,37.5622559,0.784,0.557,POINT (37.5622559 6.020385),839.941062913383
6.02435784991,38.3413616597,POINT (38.3413616597 6.02435784991),6.020385,38.3312988,-0.734,0.379,POINT (38.3312988 6.020385),1171.363885845186
6.04835097849,37.5568587055,POINT (37.5568587055 6.04835097849),6.042236,37.5622559,0.611,0.575,POINT (37.5622559 6.042236),806.662595795657
6.05915013841,37.545217807,POINT (37.545217807 6.05915013841),6.0640861,37.5402832,-0.049,0.397,POINT (37.5402832 6.0640861),700.3297901338003
6.13630868631,36.6759763471,POINT (36.6759763471 6.13630868631),6.1296313,36.6833496,-0.685,0.366,POINT (36.6833496 6.1296313),1013.2953380539409
6.13878361273,38.2843372409,POINT (38.2843372409 6.13878361273),6.1296313,38.2873535,-0.189,0.394,POINT (38.2873535 6.1296313),866.3685033222267
6.20010588939,36.5861907555,POINT (36.5861907555 6.20010588939),6.1951683,36.595459,-0.427,0.371,POINT (36.595459 6.1951683),1120.9047304647474
6.23179734158,35.8385790499,POINT (35.8385790499 6.23179734158),6.1733235,35.7385254,-0.112,0.366,POINT (35.7385254 6.1733235),12312.34998554601
6.23385511377,37.3456169058,POINT (37.3456169058 6.23385511377),6.2388552,37.3425293,-0.395,0.376,POINT (37.3425293 6.2388552),559.6846391495407
6.2600677475,35.2645547968,POINT (35.2645547968 6.2600677475),6.2606973,35.255127,-0.549,0.382,POINT (35.255127 6.2606973),1049.8803712112972
6.2656349463,36.6109388136,POINT (36.6109388136 6.2656349463),6.2606973,36.6174316,-0.479,0.369,POINT (36.6174316 6.2606973),845.8420549700098
6.27761186614,38.3115215185,POINT (38.3115215185 6.27761186614),6.2825384,38.3093262,-0.401,0.383,POINT (38.3093262 6.2825384),494.3216925939858
6.29109687243,37.4818442988,POINT (37.4818442988 6.29109687243),6.2825384,37.4743652,-0.162,0.384,POINT (37.4743652 6.2825384),1123.380259520757
6.33301035552,36.6032685349,POINT (36.6032685349 6.33301035552),6.326218,36.595459,-0.123,0.371,POINT (36.595459 6.326218),1059.1266939544455
6.36391514169,36.5892168406,POINT (36.5892168406 6.36391514169),6.3698938,36.595459,-0.628,0.392,POINT (36.595459 6.3698938),875.5986934391494
6.37589338272,38.7269447069,POINT (38.7269447069 6.37589338272),6.3698938,38.7268066,-0.364,0.379,POINT (38.7268066 6.3698938),520.6740036705675
6.39898337786,38.8768980886,POINT (38.8768980886 6.39898337786),6.3917304,38.8806152,-0.219,0.398,POINT (38.8806152 6.3917304),751.6749618518803
