"2.5%","97.5%","mean_error_model","obs","zone","povline"
"-4.08125139114818","4.26107778294238","8.60065871249937","350","urban","poor_2011_550"
"-3.45329507784479","3.18630470081828","8.66571688687937","400","urban","poor_2011_550"
"-2.66743130769637","2.52146848717543","8.58132205481744","450","urban","poor_2011_550"
"-1.97169237122344","2.00264196999661","8.57576517744108","500","urban","poor_2011_550"
"-10.6769138139677","12.4522214075534","-0.435658096579171","100","full","poor_2011_550"
"-8.93283115749788","9.94041763990141","-0.358207838648533","150","full","poor_2011_550"
"-7.40443674080082","8.88805975271976","-0.217095319406344","200","full","poor_2011_550"
"-6.80945935426223","7.22399336266774","-0.307487588734751","250","full","poor_2011_550"
"-6.18858382315179","6.13223485476","-0.218960788705006","300","full","poor_2011_550"
"-5.49451014769428","5.51540436446799","-0.306399797697374","350","full","poor_2011_550"
"-5.00621265547532","5.27485903087517","-0.393403215422875","400","full","poor_2011_550"
"-5.01079618510025","5.07184353264387","-0.396337566993369","450","full","poor_2011_550"
"-4.51993453832999","4.35465712352054","-0.235907979027843","500","full","poor_2011_550"
"-6.57737985808333","8.62604372356468","-5.15313531287788","100","rural","poor_2011_800"
"-5.3853587197014","6.61667617956443","-4.87110843420299","150","rural","poor_2011_800"
"-4.87671731821922","5.52737216138852","-4.84874447174844","200","rural","poor_2011_800"
"-4.0799753459131","4.72283345547945","-4.90164821273929","250","rural","poor_2011_800"
"-3.77241163787386","4.03730628016798","-5.00184431084552","300","rural","poor_2011_800"
"-3.55549002169083","3.87800839401409","-4.98712553105143","350","rural","poor_2011_800"
"-3.13048210386437","3.36142548333123","-4.99172102002153","400","rural","poor_2011_800"
"-2.58246138388041","2.75333277357624","-4.96876211370981","450","rural","poor_2011_800"
"-2.62712525011504","2.5553707074365","-4.91117409617411","500","rural","poor_2011_800"
"-10.1789640262216","10.9748468930639","7.16838367148164","100","urban","poor_2011_800"
"-8.77338441958145","8.22971375005915","7.23397828992022","150","urban","poor_2011_800"
"-6.41996649335731","6.67939572244308","7.34783133305225","200","urban","poor_2011_800"
"-5.3694608239085","5.90631823529973","7.2649320376473","250","urban","poor_2011_800"
"-4.68249896256102","4.5049503179325","7.33850794375954","300","urban","poor_2011_800"
"-3.81610406308323","3.73645892775065","7.22690253808756","350","urban","poor_2011_800"
"-3.33108993569136","3.04241396784893","7.32148919202873","400","urban","poor_2011_800"
"-2.64089466334838","2.40913994454963","7.2426649123413","450","urban","poor_2011_800"
"-1.9335923003457","1.77871766127182","7.25024158376611","500","urban","poor_2011_800"
"-7.77187980017231","9.73492977119011","-1.41118668339348","100","full","poor_2011_800"
"-6.90592703283184","7.62572173776818","-1.37071205477517","150","full","poor_2011_800"
"-5.53366723383085","6.3557985009569","-1.50746879679062","200","full","poor_2011_800"
"-4.94684693048217","5.60029291814689","-1.46368630632641","250","full","poor_2011_800"
"-4.53911957723853","4.65570583988743","-1.50201124682074","300","full","poor_2011_800"
"-4.46299750900389","4.61117623466285","-1.58305136329315","350","full","poor_2011_800"
"-4.050339179842","4.1001936517406","-1.60061355273801","400","full","poor_2011_800"
"-3.74874348262814","3.73763939714701","-1.48857599722303","450","full","poor_2011_800"
"-3.30757509593129","3.52874654127421","-1.45224911939531","500","full","poor_2011_800"
"-5.36976674478279","8.06358526998962","-2.54839712306964","100","rural","poor_2011_1100"
"-4.77832427410892","5.71302874615303","-2.30289003772655","150","rural","poor_2011_1100"
"-4.03806836966058","4.64883546140409","-2.29770269839297","200","rural","poor_2011_1100"
