dist_road,dist_popcenter,dist_market,dist_borderpost,dist_admctr,pop_density,af_bio_1,af_bio_8,af_bio_12,af_bio_13,af_bio_16,fsrad3_agpct,fsrad3_lcmaj,ssa_aez09,srtm,twi,srtm_5_15,sq1,sq2,sq3,sq4,sq5,sq6,sq7,anntot_avg,wetQ_avg,wetQ_avgstart,h2015_tot,h2015_wetQ,h2015_wetQstart,eviarea_avg,evimax_avg,grn_avg,sen_avg,h2015_eviarea,h2015_evimax,h2015_grn,h2015_sen,lat_dd_mod,lon_dd_mod,household_id_1,household_id_2,household_id_3,household_id_4,household_id_5,household_id_6,household_id_7,household_id_8,household_id_9,household_id_10,household_id_11,household_id_12,household_id_13,household_id_14,household_id_15,household_id_16,household_id_17,ea_id_1,ea_id_2,ea_id_3,ea_id_4,ea_id_5,ea_id_6,ea_id_7,ea_id_8,ea_id_9,ea_id_10,ea_id_11,ea_id_12,ea_id_13,ea_id_14,
26,31,75,147,175,50-100,262,255,721,223,538,56,30,312,1090,12,8,1,1,4,1,1,1,4,1065,853,18,1509,1053,19,46,0.432,177,257,40,0.386,173,256,14.08627602,37.98318654,1,0,1,0,5,0,8,8,8,0,0,2,0,4,0,0,0,1,0,1,0,5,0,8,8,8,0,0,2,0,4,
28,33,75,145,176,50-100,263,256,714,221,534,54,30,312,1077,12,8,1,1,4,1,1,1,4,1068,856,18,1507,1043,19,46,0.432,177,257,40,0.386,173,256,14.08627602,37.98318654,1,0,1,0,5,0,8,8,8,0,0,2,0,4,1,0,0,1,0,1,0,5,0,8,8,8,0,0,2,0,4,
0,0,77,178,146,10000-20000,204,194,903,296,689,27,110,322,1901,13,3,1,1,2,1,1,1,2,1019,833,18,1515,1210,17,46,0.432,177,257,40,0.386,173,256,14.07755729,38.31567761,1,0,1,0,5,0,8,8,8,0,0,2,0,4,1,0,0,1,0,1,0,5,0,8,8,8,0,0,2,0,4,
26,31,75,147,175,50-100,262,255,721,223,538,56,30,312,1090,12,8,1,1,4,1,1,1,4,1064,853,18,1509,1053,19,46,0.432,177,257,40,0.386,173,256,14.08627602,37.98318654,1,0,1,0,5,0,8,8,8,0,0,2,0,4,1,0,0,1,0,1,0,5,0,8,8,8,0,0,2,0,4,
26,31,75,147,175,50-100,262,255,721,223,538,56,30,312,1086,12,8,1,1,4,1,1,1,4,1064,853,18,1509,1053,19,46,0.432,177,257,40,0.386,173,256,14.08627602,37.98318654,1,0,1,0,5,0,8,8,8,0,0,2,0,4,1,0,0,1,0,1,0,5,0,8,8,8,0,0,2,0,4,
25,30,75,148,174,50-100,261,254,725,224,541,85,14,312,1129,13,8,1,1,4,1,1,1,4,1063,852,18,1510,1059,19,46,0.432,177,257,40,0.386,173,256,14.08627602,37.98318654,1,0,1,0,5,0,8,8,8,0,0,2,0,4,1,0,0,1,0,1,0,5,0,8,8,8,0,0,2,0,4,
25,30,75,148,174,50-100,261,254,725,224,541,95,14,312,1119,13,8,1,1,4,1,1,1,4,1065,853,18,1511,1059,19,46,0.432,177,257,40,0.386,173,256,14.08627602,37.98318654,1,0,1,0,5,0,8,8,8,0,0,2,0,4,2,0,0,1,0,1,0,5,0,8,8,8,0,0,2,0,4,
2,54,23,176,147,50-100,246,236,782,243,589,43,30,322,1321,13,13,1,1,1,1,1,1,2,1076,864,18,1554,1184,19,46,0.432,177,257,40,0.386,173,256,13.64251718,38.11918223,1,0,1,0,6,0,8,8,8,0,0,4,0,2,0,0,0,1,0,1,0,6,0,8,8,8,0,0,4,0,2,
2,54,23,175,147,50-100,246,236,782,243,589,37,30,322,1324,13,8,1,1,1,1,1,1,2,1077,865,18,1555,1185,19,46,0.432,177,257,40,0.386,173,256,13.64251718,38.11918223,1,0,1,0,6,0,8,8,8,0,0,4,0,2,0,0,0,1,0,1,0,6,0,8,8,8,0,0,4,0,2,
3,54,23,175,147,50-100,246,236,782,243,589,34,30,322,1325,14,8,1,1,1,1,1,1,2,1077,865,18,1555,1185,19,46,0.432,177,257,40,0.386,173,256,13.64251718,38.11918223,1,0,1,0,6,0,8,8,8,0,0,4,0,2,0,0,0,1,0,1,0,6,0,8,8,8,0,0,4,0,2,
